Ay,Ax,B,ux_fea3d,uy_fea3d,phi_fea3d,t_fea3d,ux_fea2d,uy_fea2d,phi_fea2d,t_fea2d,ux_euler,uy_euler,phi_euler,t_euler,ux_guided,uy_guided,phi_guided,t_guided,ux_prb,uy_prb,phi_prb,t_prb,ux_prb_opt,uy_prb_opt,phi_prb_opt,t_prb_opt,ux_bcm,uy_bcm,phi_bcm,t_bcm,ux_linear,uy_linear,phi_linear,t_linear
3.0,-10.0,-1.0,-0.030912199999999997,0.2221352,0.002505170595775261,61.29506301879883,-0.02912708,0.21548759999999997,0.0003560666516188753,1.2261228561401367,nan,nan,nan,15.011844100008602,-0.03368463960580681,0.23308056649523176,0.0,0.004962600010912865,-0.005973696226427367,0.10069711567612417,0.0,6.820000999141484e-05,-0.008043306622128921,0.12005522536905489,0.0,6.819999543949962e-05,-0.03811309523809524,0.25,0.0011921296296296296,3.0999945010989904e-06,0.0,0.125,0.0,4.00003045797348e-07
3.0,-10.0,0.0,-0.0304628,0.220572,0.001781685879372305,49.20733070373535,-0.02966112,0.21732400000000002,0.0017139293698366696,1.1962800025939941,-0.03439261944937044,0.2354784210554834,0.0014950484922472852,1.6704213000048185,-0.03368463960580681,0.23308056649523176,0.0,0.003686500000185333,-0.005973696226427367,0.10069711567612417,0.0,6.78000069456175e-05,-0.008043306622128921,0.12005522536905489,0.0,6.890000076964498e-05,-0.03811309523809524,0.25,0.0018733465608465607,3.3999967854470015e-06,0.0,0.125,0.0,3.00002284348011e-07
3.0,-10.0,1.0,-0.030912199999999997,0.2221352,0.002505170595775261,52.415952920913696,-0.03061384,0.2205048,0.003157508104902812,1.178823709487915,-0.034897397063026525,0.23710055295861632,0.0021117614222356798,1.6348541000043042,-0.03368463960580681,0.23308056649523176,0.0,0.00341659999685362,-0.005973696226427367,0.10069711567612417,0.0,6.769999163225293e-05,-0.008043306622128921,0.12005522536905489,0.0,6.779999239370227e-05,-0.03811309523809524,0.25,0.0025545634920634917,2.9999937396496534e-06,0.0,0.125,0.0,4.00003045797348e-07
3.0,-10.0,2.0,-0.03148152,0.22407400000000002,0.0032606483312517215,57.071582555770874,-0.0320666,0.2252212,0.004761579889903897,1.1496341228485107,-0.035549996730932065,0.23915554281504547,0.002768572107763866,1.7196318999922369,-0.03368463960580681,0.23308056649523176,0.0,0.003377800007001497,-0.005973696226427367,0.10069711567612417,0.0,7.040001219138503e-05,-0.008043306622128921,0.12005522536905489,0.0,6.859999848529696e-05,-0.03811309523809524,0.25,0.003235780423280423,2.900007530115545e-06,0.0,0.125,0.0,5.00003807246685e-07
3.0,-10.0,3.0,-0.032179,0.226404,0.004058375288876495,51.25803995132446,-0.0341708,0.23182439999999999,0.006634423366181086,1.1681184768676758,-0.03636280200384856,0.24167961343687572,0.0034699785223733922,1.4927451999974437,-0.03368463960580681,0.23308056649523176,0.0,0.005504600005224347,-0.005973696226427367,0.10069711567612417,0.0,6.859999848529696e-05,-0.008043306622128921,0.12005522536905489,0.0,6.849999772384763e-05,-0.03811309523809524,0.25,0.003916997354497354,2.900007530115545e-06,0.0,0.125,0.0,3.00002284348011e-07
4.0,-10.0,-3.0,-0.0536456,0.2907248,0.007137860398564041,80.43588590621948,-0.0474056,0.2736324,-0.0027406488422094953,1.0624511241912842,-0.055059412664500984,0.29612105503663155,0.0003534490519322028,13.273518600006355,-0.05496224493050483,0.29583562168910826,0.0,0.004586700000800192,-0.01049727239571406,0.13330739315998016,0.0,6.800000846851617e-05,-0.01409013381102624,0.158630731540375,0.0,6.840001151431352e-05,-0.06762698412698412,0.3333333333333333,0.0007113462669018224,2.9999937396496534e-06,0.0,0.16666666666666666,0.0,4.00003045797348e-07
4.0,-10.0,-2.0,-0.0523412,0.287428,0.005845064555879984,85.51536536216736,-0.0473532,0.273608,-0.0007219998745443673,1.0075664520263672,nan,nan,nan,15.005291800000123,-0.05496224493050483,0.29583562168910826,0.0,0.004109899993636645,-0.01049727239571406,0.13330739315998016,0.0,6.799999391660094e-05,-0.01409013381102624,0.158630731540375,0.0,6.819999543949962e-05,-0.06762698412698412,0.3333333333333333,0.0017783656672545561,2.8999929782003164e-06,0.0,0.16666666666666666,0.0,4.00003045797348e-07
4.0,-10.0,-1.0,-0.0513164,0.2847876,0.0046470633224878054,51.05433487892151,-0.0478752,0.2750344,0.0012819984430034075,1.0411291122436523,-0.05605332991171963,0.2987250293464039,0.0023028826035012577,1.505637599999318,-0.05496224493050483,0.29583562168910826,0.0,0.004250499987392686,-0.01049727239571406,0.13330739315998016,0.0,6.870001379866153e-05,-0.01409013381102624,0.158630731540375,0.0,6.830001075286418e-05,-0.06762698412698412,0.3333333333333333,0.00284538506760729,2.8999929782003164e-06,0.0,0.16666666666666666,0.0,3.00002284348011e-07
4.0,-10.0,0.0,-0.0504368,0.28247120000000003,0.0035064485531961943,46.06166076660156,-0.049020400000000006,0.2780104,0.003366635991731448,1.091780424118042,-0.056868515501169226,0.30076384412828905,0.0033455933877975397,1.550318800000241,-0.05496224493050483,0.29583562168910826,0.0,0.0058637999900383875,-0.01049727239571406,0.13330739315998016,0.0,6.749999010935426e-05,-0.01409013381102624,0.158630731540375,0.0,6.880000000819564e-05,-0.06762698412698412,0.3333333333333333,0.0039124044679600236,3.0999945010989904e-06,0.0,0.16666666666666666,0.0,3.00002284348011e-07
4.0,-10.0,1.0,-0.0513164,0.2847876,0.0046470633224878054,46.56178307533264,-0.050882399999999994,0.2827124,0.005642516502549223,1.0808653831481934,-0.05792205028694908,0.30333560726779174,0.004447668784436165,1.507970499995281,-0.05496224493050483,0.29583562168910826,0.0,0.004271900004823692,-0.01049727239571406,0.13330739315998016,0.0,6.78999931551516e-05,-0.01409013381102624,0.158630731540375,0.0,6.819999543949962e-05,-0.06762698412698412,0.3333333333333333,0.004979423868312757,2.9999937396496534e-06,0.0,0.16666666666666666,0.0,5.00003807246685e-07
