fy,fx,m,x,y,phi,t
20,-10,-2,-137.27,193.871,0.2640457271608884,86.57451009750366
20,-10,-1,-119.474,187.322,0.1933897142825133,78.80345463752747
20,-10,0,-108.883,182.432,0.15007778819662435,77.51575517654419
20,-10,1,-119.474,187.322,0.1933897142825133,80.80299663543701
20,-10,2,-137.27,193.871,0.2640457271608884,88.44702243804932
20,-10,3,-161.859,199.805,0.3541174466734934,109.57925987243652
0,-5,-3,-0.0214852,0.0849302,0.0005516847596249738,20.073102712631226
0,-5,-2,-0.0214761,0.0565853,0.0003677846454295272,20.852121114730835
0,-5,-1,-0.0214734,0.0282742,0.0001838919515643745,20.39678955078125
0,-5,0,-0.0214769,-2.12326e-05,3.225812487152916e-09,19.771262168884277
0,-5,1,-0.0214734,0.0282742,0.0001838919515643745,20.086156606674194
0,-5,2,-0.0214761,0.0565853,0.0003677846454295272,21.68656039237976
0,-5,3,-0.0214852,0.0849302,0.0005516847596249738,24.32608389854431
0.5,-5,-3,-0.131623,6.73816,0.00063391545826229,21.94383478164673
0.5,-5,-2,-0.130158,6.69185,0.00044345056386230577,21.498390197753906
0.5,-5,-1,-0.128932,6.65174,0.000253174710822389,21.57463788986206
0.5,-5,0,-0.127938,6.61772,6.301302510309956e-05,21.06905722618103
0.5,-5,1,-0.128932,6.65174,0.000253174710822389,21.263537406921387
0.5,-5,2,-0.130158,6.69185,0.00044345056386230577,21.231098413467407
0.5,-5,3,-0.131623,6.73816,0.00063391545826229,21.455602169036865
1,-5,-3,-0.457874,13.3951,0.0007666405379104473,22.749486923217773
1,-5,-2,-0.453133,13.3232,0.0005563239589266241,23.165017127990723
1,-5,-1,-0.449369,13.2644,0.0003467748508253285,23.112369775772095
1,-5,0,-0.446546,13.2182,0.00013773574958529002,23.327494621276855
1,-5,1,-0.449369,13.2644,0.0003467748508253285,23.766530513763428
1,-5,2,-0.453133,13.3232,0.0005563239589266241,23.265225887298584
1,-5,3,-0.457874,13.3951,0.0007666405379104473,23.082059383392334
2,-5,-3,-1.74081,26.5356,0.0012290356038660091,25.57721471786499
2,-5,-2,-1.72205,26.3974,0.0009383253321176312,24.612149000167847
2,-5,-1,-1.70723,26.2857,0.00065122739497744,24.451141119003296
2,-5,0,-1.69617,26.1995,0.00036671060733134376,26.072885036468506
2,-5,1,-1.70723,26.2857,0.00065122739497744,27.06109309196472
2,-5,2,-1.72205,26.3974,0.0009383253321176312,25.892107725143433
2,-5,3,-1.74081,26.5356,0.0012290356038660091,26.828450679779053
3,-5,-3,-3.81061,39.2902,0.002025359909420738,27.247676849365234
3,-5,-2,-3.76463,39.0659,0.0015982628904529378,27.078921794891357
3,-5,-1,-3.72763,38.8818,0.0011810362806981632,27.911935806274414
3,-5,0,-3.6991,38.7361,0.0007709055598838309,26.72897219657898
3,-5,1,-3.72763,38.8818,0.0011810362806981632,26.088293313980103
3,-5,2,-3.76463,39.0659,0.0015982628904529378,25.891948699951172
3,-5,3,-3.81061,39.2902,0.002025359909420738,25.75460910797119
4,-5,-3,-6.5563,51.4273,0.0032181907433773333,24.260343074798584
4,-5,-2,-6.47177,51.1182,0.0026010992987384224,38.713316440582275
4,-5,-1,-6.40191,50.8579,0.002003037332929027,38.74468922615051
4,-5,0,-6.34602,50.6446,0.0014192303473711775,41.012611865997314
4,-5,1,-6.40191,50.8579,0.002003037332929027,38.05594873428345
4,-5,2,-6.47177,51.1182,0.0026010992987384224,38.228235483169556
4,-5,3,-6.5563,51.4273,0.0032181907433773333,39.217429876327515
5,-5,-3,-9.91682,63.0253,0.004898273924758324,42.93407845497131
5,-5,-2,-9.76597,62.5827,0.004022755089257927,93.19457507133484
5,-5,-1,-9.64143,62.2105,0.0031850942230342363,41.79834818840027
5,-5,0,-9.5402,61.9014,0.002375229001698348,39.051098346710205
5,-5,1,-9.64143,62.2105,0.0031850942230342363,40.70841121673584
5,-5,2,-9.76597,62.5827,0.004022755089257927,62.72738480567932
5,-5,3,-9.91682,63.0253,0.004898273924758324,47.873363971710205
6,-5,-3,-13.7288,73.8366,0.007079149802522706,42.19628691673279
6,-5,-2,-13.498,73.2703,0.005888284852722552,41.80025291442871
6,-5,-1,-13.3049,72.7875,0.004758019401462864,43.11481714248657
6,-5,0,-13.1459,72.3818,0.0036741817558566484,44.49402976036072
6,-5,1,-13.3049,72.7875,0.004758019401462864,41.16923522949219
6,-5,2,-13.498,73.2703,0.005888284852722552,40.580580711364746
6,-5,3,-13.7288,73.8366,0.007079149802522706,44.67575192451477
7,-5,-3,-17.9011,83.9012,0.009803879423967708,47.430213928222656
7,-5,-2,-17.5724,83.2073,0.008233192372392548,46.13798117637634
7,-5,-1,-17.2949,82.6102,0.006754012413078708,48.53713083267212
7,-5,0,-17.0639,82.1027,0.005347666807211561,48.009809732437134
7,-5,1,-17.2949,82.6102,0.006754012413078708,46.78757572174072
7,-5,2,-17.5724,83.2073,0.008233192372392548,47.71205258369446
7,-5,3,-17.9011,83.9012,0.009803879423967708,48.161155223846436
8,-5,-3,-22.3589,93.266,0.013113835210286615,49.99935603141785
8,-5,-2,-21.9074,92.4291,0.011088069901091372,51.05269813537598
8,-5,-1,-21.5263,91.7083,0.009199479318738801,53.20559644699097
8,-5,0,-21.2073,91.0922,0.007418458717869247,49.82432723045349
8,-5,1,-21.5263,91.7083,0.009199479318738801,48.94388127326965
8,-5,2,-21.9074,92.4291,0.011088069901091372,48.24626922607422
8,-5,3,-22.3589,93.266,0.013113835210286615,49.57356524467468
9,-5,-3,-27.0151,101.935,0.017019386078521683,46.383827924728394
9,-5,-2,-26.2176,100.602,0.014219139297935413,47.66263723373413
9,-5,-1,-25.851,99.9873,0.01202906713878168,42.93630051612854
9,-5,0,-25.4769,99.3429,0.009876109001849553,48.705832958221436
9,-5,1,-25.851,99.9873,0.01202906713878168,43.22105264663696
9,-5,2,-26.2176,100.602,0.014219139297935413,43.240474224090576
9,-5,3,-27.0151,101.935,0.017019386078521683,49.83383321762085
10,-5,-3,-31.7461,109.857,0.021431002931908968,45.39714336395264
10,-5,-2,-31.0454,108.814,0.01835456951541123,45.279714584350586
10,-5,-1,-30.4226,107.866,0.015479746057711912,42.519675493240356
10,-5,0,-29.8881,107.033,0.012795895344025936,41.94311213493347
10,-5,1,-30.4226,107.866,0.015479746057711912,41.35225009918213
10,-5,2,-31.0454,108.814,0.01835456951541123,42.50968384742737
10,-5,3,-31.7461,109.857,0.021431002931908968,42.63154673576355
12,-5,-3,-41.555,124.132,0.03217118132267526,41.621055364608765
12,-5,-2,-40.5011,122.823,0.027742854433913753,44.57961583137512
12,-5,-1,-39.5759,121.644,0.023645617938813073,42.41016602516174
12,-5,0,-38.7773,120.601,0.019853804009006184,41.470415353775024
12,-5,1,-39.5759,121.644,0.023645617938813073,44.027618169784546
12,-5,2,-40.5011,122.823,0.027742854433913753,41.021814584732056
